Age Group,Birthdate,City,Department,Education Level,Employee ID,First Name,FULL name,Gender,Hiredate,Job Title,Last Name,LOCATION,Performance Rating,State,status,Termdate,Age,length of hire,Salary,Total Active,Total Hired,Total terminated
35-44,2/13/1980,New York City,Customer Service,H- S,00-95822412,Danielle,Danielle Johnson,Female,4/16/2016,Help Desk Technician,Johnson,HQ,Needs Improvement,New York,TERMINETED,7/5/2021,44,5,81552,0,1,1
35-44,9/22/1987,Charlotte,IT,BS,00-42868828,John,John Taylor,Male,2/9/2017,System Administrator,Taylor,BRANCH,Good,North Carolina,TERMINETED,6/14/2019,37,2,107520,0,1,1
25-35,5/19/1994,New York City,Operations,BS,00-83197857,Erica,Erica Mcclain,Male,2/3/2016,Logistics Coordinator,Mcclain,HQ,Good,New York,TERMINETED,3/6/2021,30,5,61104,0,1,1
35-44,4/18/1980,New York City,Operations,BS,00-13999315,Brittany,Brittany Johnson,Male,2/6/2016,Inventory Specialist,Johnson,HQ,Good,New York,TERMINETED,11/6/2018,44,2,73770,0,1,1
35-44,4/7/1985,New York City,Operations,BS,00-90801586,Jeffery,Jeffery Wagner,Female,1/11/2015,Operations Analyst,Wagner,HQ,Satisfactory,New York,HIRED,,39,9,55581,1,1,0
35-44,5/31/1988,New York City,Operations,BS,00-97226012,Anna,Anna Baldwin,Female,9/30/2022,Operations Analyst,Baldwin,HQ,Good,New York,TERMINETED,3/29/2023,36,1,73800,0,1,1
25-35,7/16/1991,New York City,Finance,BS,00-70291817,Amy,Amy Robinson,Male,8/16/2020,Accountant,Robinson,HQ,Good,New York,TERMINETED,2/12/2021,33,1,68181,0,1,1
25-35,9/19/1995,New York City,Finance,BS,00-31429110,Joshua,Joshua Booth,Female,10/22/2022,Accounts Payable Specialist,Booth,HQ,Good,New York,TERMINETED,4/20/2023,29,1,54499,0,1,1
>25,5/11/2002,New York City,Operations,H- S,00-30868105,Linda,Linda Wolfe,Male,5/13/2017,Inventory Specialist,Wolfe,HQ,Needs Improvement,New York,TERMINETED,11/15/2021,22,4,57340,0,1,1
35-44,11/21/1980,New York City,Operations,BS,00-22448136,Joshua,Joshua Lewis,Female,10/24/2018,Logistics Coordinator,Lewis,HQ,Good,New York,TERMINETED,3/30/2022,44,4,54065,0,1,1
25-35,2/8/1994,New York City,Marketing,H- S,00-56164955,Matthew,Matthew Davis,Female,2/7/2021,SEO Specialist,Davis,HQ,Needs Improvement,New York,TERMINETED,8/6/2021,30,0,83262,0,1,1
45-54,4/26/1974,New York City,HR,H- S,00-71662963,Michael,Michael Cooper,Female,4/12/2020,Recruiter,Cooper,HQ,Needs Improvement,New York,TERMINETED,1/28/2024,50,4,61651,0,1,1
55+,5/26/1967,New York City,Operations,BS,00-84093639,Lindsay,Lindsay Blair,Male,7/28/2017,Operations Analyst,Blair,HQ,Good,New York,TERMINETED,1/24/2018,57,1,75509,0,1,1
>25,7/26/2001,New York City,Customer Service,H- S,00-58537831,David,David Nielsen,Female,1/31/2020,Help Desk Technician,Nielsen,HQ,Needs Improvement,New York,TERMINETED,7/29/2020,23,0,67011,0,1,1
35-44,5/22/1987,Grand Rapids,IT,BS,00-16150444,Andrea,Andrea Calderon,Male,8/29/2022,IT Support Specialist,Calderon,BRANCH,Good,Michigan,TERMINETED,2/25/2023,37,1,60136,0,1,1
55+,12/13/1963,New York City,Operations,BS,00-41244663,Nicole,Nicole Ward,Male,3/16/2023,Logistics Coordinator,Ward,HQ,Satisfactory,New York,TERMINETED,9/12/2023,61,0,67552,0,1,1
>25,12/26/2002,Grand Rapids,Operations,BS,00-70855700,Janet,Janet Williams,Male,3/30/2021,Inventory Specialist,Williams,BRANCH,Good,Michigan,TERMINETED,9/26/2021,22,0,59934,0,1,1
